gem_name,ortsteil,landuse,triptime,size
Au,kein Ortsteil,commercial,20.0,2
Au,kein Ortsteil,farmyard,25.0,1
Au,kein Ortsteil,farmyard,40.0,2
Au,kein Ortsteil,farmyard,120.0,3
Au,kein Ortsteil,residential,20.0,7
Au,kein Ortsteil,residential,25.0,73
Au,kein Ortsteil,residential,30.0,127
Au,kein Ortsteil,residential,40.0,168
Au,kein Ortsteil,residential,120.0,12
Au,kein Ortsteil,unbekannt,40.0,2
Auggen,kein Ortsteil,cemetery,15.0,1
Auggen,kein Ortsteil,commercial,15.0,3
Auggen,kein Ortsteil,commercial,20.0,1
Auggen,kein Ortsteil,farmyard,30.0,1
Auggen,kein Ortsteil,farmyard,120.0,6
Auggen,kein Ortsteil,grass,120.0,1
Auggen,kein Ortsteil,greenhouse_horticulture,15.0,1
Auggen,kein Ortsteil,industrial,20.0,10
Auggen,kein Ortsteil,industrial,25.0,25
Auggen,kein Ortsteil,industrial,30.0,19
Auggen,kein Ortsteil,industrial,40.0,3
Auggen,kein Ortsteil,industrial,120.0,7
Auggen,kein Ortsteil,residential,5.0,102
Auggen,kein Ortsteil,residential,10.0,186
Auggen,kein Ortsteil,residential,15.0,266
Auggen,kein Ortsteil,residential,20.0,129
Auggen,kein Ortsteil,residential,25.0,3
Auggen,kein Ortsteil,residential,30.0,22
Auggen,kein Ortsteil,residential,40.0,7
Auggen,kein Ortsteil,residential,120.0,7
Bad Krozingen,Bad Krozingen (Kernstadt),brownfield,40.0,1
Bad Krozingen,Bad Krozingen (Kernstadt),cemetery,15.0,1
Bad Krozingen,Bad Krozingen (Kernstadt),cemetery,20.0,1
Bad Krozingen,Bad Krozingen (Kernstadt),commercial,15.0,3
Bad Krozingen,Bad Krozingen (Kernstadt),commercial,20.0,8
Bad Krozingen,Bad Krozingen (Kernstadt),commercial,25.0,35
Bad Krozingen,Bad Krozingen (Kernstadt),commercial,30.0,41
Bad Krozingen,Bad Krozingen (Kernstadt),commercial,40.0,24
Bad Krozingen,Bad Krozingen (Kernstadt),education,20.0,3
Bad Krozingen,Bad Krozingen (Kernstadt),education,25.0,2
Bad Krozingen,Bad Krozingen (Kernstadt),farmyard,120.0,1
Bad Krozingen,Bad Krozingen (Kernstadt),forest,20.0,1
Bad Krozingen,Bad Krozingen (Kernstadt),greenhouse_horticulture,25.0,1
Bad Krozingen,Bad Krozingen (Kernstadt),greenhouse_horticulture,40.0,5
Bad Krozingen,Bad Krozingen (Kernstadt),industrial,30.0,2
Bad Krozingen,Bad Krozingen (Kernstadt),industrial,40.0,3
Bad Krozingen,Bad Krozingen (Kernstadt),plant_nursery,40.0,1
Bad Krozingen,Bad Krozingen (Kernstadt),railway,20.0,2
Bad Krozingen,Bad Krozingen (Kernstadt),recreation_ground,25.0,3
Bad Krozingen,Bad Krozingen (Kernstadt),recreation_ground,30.0,1
Bad Krozingen,Bad Krozingen (Kernstadt),residential,5.0,51
Bad Krozingen,Bad Krozingen (Kernstadt),residential,10.0,293
Bad Krozingen,Bad Krozingen (Kernstadt),residential,15.0,596
Bad Krozingen,Bad Krozingen (Kernstadt),residential,20.0,712
Bad Krozingen,Bad Krozingen (Kernstadt),residential,25.0,450
Bad Krozingen,Bad Krozingen (Kernstadt),residential,30.0,194
Bad Krozingen,Bad Krozingen (Kernstadt),residential,40.0,142
Bad Krozingen,Bad Krozingen (Kernstadt),unbekannt,5.0,3
Bad Krozingen,Bad Krozingen (Kernstadt),unbekannt,20.0,1
Bad Krozingen,Bad Krozingen (Kernstadt),unbekannt,25.0,5
Bad Krozingen,Bad Krozingen (Kernstadt),unbekannt,30.0,1
Bad Krozingen,Bad Krozingen (Kernstadt),vineyard,40.0,3
Bad Krozingen,Biengen,cemetery,25.0,1
Bad Krozingen,Biengen,farmyard,25.0,1
Bad Krozingen,Biengen,farmyard,120.0,3
Bad Krozingen,Biengen,industrial,15.0,3
Bad Krozingen,Biengen,industrial,20.0,4
Bad Krozingen,Biengen,industrial,25.0,6
Bad Krozingen,Biengen,residential,5.0,107
Bad Krozingen,Biengen,residential,10.0,277
Bad Krozingen,Biengen,residential,15.0,111
Bad Krozingen,Biengen,residential,20.0,8
Bad Krozingen,Biengen,residential,25.0,9
Bad Krozingen,Biengen,residential,30.0,1
Bad Krozingen,Biengen,unbekannt,20.0,1
Bad Krozingen,Hausen an der Möhlin,commercial,10.0,18
Bad Krozingen,Hausen an der Möhlin,commercial,15.0,6
Bad Krozingen,Hausen an der Möhlin,industrial,40.0,1
Bad Krozingen,Hausen an der Möhlin,recreation_ground,10.0,2
Bad Krozingen,Hausen an der Möhlin,recreation_ground,15.0,1
Bad Krozingen,Hausen an der Möhlin,residential,5.0,53
Bad Krozingen,Hausen an der Möhlin,residential,10.0,156
Bad Krozingen,Hausen an der Möhlin,residential,15.0,121
Bad Krozingen,Hausen an der Möhlin,residential,20.0,90
Bad Krozingen,Schlatt,farmyard,20.0,2
Bad Krozingen,Schlatt,farmyard,40.0,4
Bad Krozingen,Schlatt,recreation_ground,20.0,1
Bad Krozingen,Schlatt,residential,5.0,73
Bad Krozingen,Schlatt,residential,10.0,68
Bad Krozingen,Schlatt,residential,15.0,67
Bad Krozingen,Schlatt,residential,20.0,64
Bad Krozingen,Schlatt,residential,25.0,14
Bad Krozingen,Schlatt,unbekannt,120.0,1
Bad Krozingen,Tunsel,commercial,120.0,1
Bad Krozingen,Tunsel,farmyard,20.0,1
Bad Krozingen,Tunsel,greenfield,15.0,1
Bad Krozingen,Tunsel,industrial,120.0,2
Bad Krozingen,Tunsel,recreation_ground,15.0,2
Bad Krozingen,Tunsel,residential,5.0,76
Bad Krozingen,Tunsel,residential,10.0,123
Bad Krozingen,Tunsel,residential,15.0,151
Bad Krozingen,Tunsel,residential,20.0,82
Bad Krozingen,Tunsel,residential,25.0,2
Bad Krozingen,Tunsel,residential,120.0,97
Bad Krozingen,Tunsel,unbekannt,10.0,1
Bad Krozingen,Tunsel,unbekannt,25.0,1
Bad Krozingen,Tunsel,unbekannt,40.0,1
Badenweiler,Badenweiler (Kernort),farmyard,20.0,1
Badenweiler,Badenweiler (Kernort),farmyard,40.0,1
Badenweiler,Badenweiler (Kernort),forest,25.0,3
Badenweiler,Badenweiler (Kernort),forest,40.0,1
