gem_name,ortsteil,landuse,triptime,size
Bahlingen,kein Ortsteil,cemetery,10.0,1
Bahlingen,kein Ortsteil,farmyard,15.0,3
Bahlingen,kein Ortsteil,farmyard,20.0,2
Bahlingen,kein Ortsteil,farmyard,25.0,2
Bahlingen,kein Ortsteil,farmyard,30.0,1
Bahlingen,kein Ortsteil,industrial,20.0,1
Bahlingen,kein Ortsteil,industrial,30.0,20
Bahlingen,kein Ortsteil,industrial,40.0,47
Bahlingen,kein Ortsteil,orchard,25.0,1
Bahlingen,kein Ortsteil,railway,15.0,2
Bahlingen,kein Ortsteil,residential,5.0,53
Bahlingen,kein Ortsteil,residential,10.0,253
Bahlingen,kein Ortsteil,residential,15.0,248
Bahlingen,kein Ortsteil,residential,20.0,200
Bahlingen,kein Ortsteil,residential,25.0,112
Bahlingen,kein Ortsteil,residential,30.0,139
Bahlingen,kein Ortsteil,residential,40.0,61
Bahlingen,kein Ortsteil,unbekannt,40.0,1
Biederbach,kein Ortsteil,cemetery,5.0,1
Biederbach,kein Ortsteil,commercial,25.0,6
Biederbach,kein Ortsteil,farmyard,10.0,3
Biederbach,kein Ortsteil,farmyard,15.0,1
Biederbach,kein Ortsteil,farmyard,20.0,5
Biederbach,kein Ortsteil,farmyard,25.0,10
Biederbach,kein Ortsteil,farmyard,30.0,13
Biederbach,kein Ortsteil,farmyard,40.0,26
Biederbach,kein Ortsteil,farmyard,120.0,74
Biederbach,kein Ortsteil,forest,120.0,2
Biederbach,kein Ortsteil,industrial,40.0,2
Biederbach,kein Ortsteil,meadow,30.0,1
Biederbach,kein Ortsteil,meadow,120.0,1
Biederbach,kein Ortsteil,recreation_ground,30.0,1
Biederbach,kein Ortsteil,residential,5.0,49
Biederbach,kein Ortsteil,residential,10.0,40
Biederbach,kein Ortsteil,residential,15.0,9
Biederbach,kein Ortsteil,residential,20.0,2
Biederbach,kein Ortsteil,residential,25.0,24
Biederbach,kein Ortsteil,residential,30.0,25
Biederbach,kein Ortsteil,residential,40.0,68
Biederbach,kein Ortsteil,residential,120.0,132
Biederbach,kein Ortsteil,unbekannt,120.0,1
Denzlingen,kein Ortsteil,allotments,120.0,2
Denzlingen,kein Ortsteil,cemetery,10.0,1
Denzlingen,kein Ortsteil,commercial,20.0,1
Denzlingen,kein Ortsteil,commercial,30.0,20
Denzlingen,kein Ortsteil,commercial,40.0,25
Denzlingen,kein Ortsteil,farmland,15.0,1
Denzlingen,kein Ortsteil,farmyard,20.0,2
Denzlingen,kein Ortsteil,farmyard,25.0,1
Denzlingen,kein Ortsteil,farmyard,40.0,8
Denzlingen,kein Ortsteil,farmyard,120.0,3
Denzlingen,kein Ortsteil,forest,15.0,1
Denzlingen,kein Ortsteil,greenhouse_horticulture,10.0,1
Denzlingen,kein Ortsteil,greenhouse_horticulture,15.0,1
