gem_name,ortsteil,landuse,triptime,size
Freiburg im Breisgau,Altstadt,commercial,15.0,91
Freiburg im Breisgau,Altstadt,commercial,20.0,82
Freiburg im Breisgau,Altstadt,commercial,25.0,2
Freiburg im Breisgau,Altstadt,construction,15.0,1
Freiburg im Breisgau,Altstadt,construction,20.0,2
Freiburg im Breisgau,Altstadt,grass,20.0,1
Freiburg im Breisgau,Altstadt,railway,15.0,1
Freiburg im Breisgau,Altstadt,recreation_ground,15.0,1
Freiburg im Breisgau,Altstadt,residential,10.0,27
Freiburg im Breisgau,Altstadt,residential,15.0,373
Freiburg im Breisgau,Altstadt,residential,20.0,416
Freiburg im Breisgau,Altstadt,residential,25.0,4
Freiburg im Breisgau,Altstadt,retail,10.0,16
Freiburg im Breisgau,Altstadt,retail,15.0,148
Freiburg im Breisgau,Altstadt,retail,20.0,557
Freiburg im Breisgau,Altstadt,retail,25.0,80
Freiburg im Breisgau,Altstadt,unbekannt,15.0,7
Freiburg im Breisgau,Altstadt,unbekannt,20.0,43
Freiburg im Breisgau,Altstadt,unbekannt,25.0,12
Freiburg im Breisgau,Betzenhausen,allotments,10.0,2
Freiburg im Breisgau,Betzenhausen,commercial,10.0,2
Freiburg im Breisgau,Betzenhausen,commercial,15.0,2
Freiburg im Breisgau,Betzenhausen,commercial,20.0,2
Freiburg im Breisgau,Betzenhausen,education,10.0,1
Freiburg im Breisgau,Betzenhausen,grass,5.0,12
Freiburg im Breisgau,Betzenhausen,grass,10.0,5
Freiburg im Breisgau,Betzenhausen,grass,15.0,6
Freiburg im Breisgau,Betzenhausen,industrial,25.0,2
Freiburg im Breisgau,Betzenhausen,recreation_ground,5.0,2
Freiburg im Breisgau,Betzenhausen,recreation_ground,10.0,1
Freiburg im Breisgau,Betzenhausen,recreation_ground,15.0,1
Freiburg im Breisgau,Betzenhausen,recreation_ground,20.0,3
Freiburg im Breisgau,Betzenhausen,residential,5.0,97
Freiburg im Breisgau,Betzenhausen,residential,10.0,334
Freiburg im Breisgau,Betzenhausen,residential,15.0,440
Freiburg im Breisgau,Betzenhausen,residential,20.0,185
Freiburg im Breisgau,Betzenhausen,residential,25.0,43
Freiburg im Breisgau,Betzenhausen,unbekannt,5.0,5
Freiburg im Breisgau,Betzenhausen,unbekannt,10.0,2
Freiburg im Breisgau,Betzenhausen,unbekannt,15.0,2
Freiburg im Breisgau,Betzenhausen,unbekannt,20.0,4
Freiburg im Breisgau,Betzenhausen,unbekannt,25.0,1
Freiburg im Breisgau,Brühl,allotments,40.0,1
Freiburg im Breisgau,Brühl,cemetery,10.0,1
Freiburg im Breisgau,Brühl,cemetery,15.0,1
Freiburg im Breisgau,Brühl,commercial,20.0,39
Freiburg im Breisgau,Brühl,commercial,25.0,61
Freiburg im Breisgau,Brühl,commercial,30.0,16
Freiburg im Breisgau,Brühl,commercial,40.0,10
Freiburg im Breisgau,Brühl,commercial,120.0,14
Freiburg im Breisgau,Brühl,construction,30.0,1
Freiburg im Breisgau,Brühl,education,15.0,3
Freiburg im Breisgau,Brühl,education,20.0,19
Freiburg im Breisgau,Brühl,education,25.0,14
Freiburg im Breisgau,Brühl,education,30.0,5
Freiburg im Breisgau,Brühl,forest,25.0,3
Freiburg im Breisgau,Brühl,grass,30.0,2
Freiburg im Breisgau,Brühl,grass,120.0,2
Freiburg im Breisgau,Brühl,industrial,5.0,8
Freiburg im Breisgau,Brühl,industrial,10.0,7
Freiburg im Breisgau,Brühl,industrial,15.0,14
Freiburg im Breisgau,Brühl,industrial,20.0,65
Freiburg im Breisgau,Brühl,industrial,25.0,59
Freiburg im Breisgau,Brühl,industrial,30.0,49
Freiburg im Breisgau,Brühl,industrial,40.0,100
Freiburg im Breisgau,Brühl,industrial,120.0,123
Freiburg im Breisgau,Brühl,meadow,120.0,1
Freiburg im Breisgau,Brühl,railway,20.0,1
Freiburg im Breisgau,Brühl,residential,5.0,155
Freiburg im Breisgau,Brühl,residential,10.0,322
Freiburg im Breisgau,Brühl,residential,15.0,174
Freiburg im Breisgau,Brühl,residential,20.0,151
Freiburg im Breisgau,Brühl,residential,25.0,45
Freiburg im Breisgau,Brühl,residential,30.0,4
Freiburg im Breisgau,Brühl,residential,40.0,2
Freiburg im Breisgau,Brühl,residential,120.0,6
Freiburg im Breisgau,Brühl,retail,40.0,2
Freiburg im Breisgau,Brühl,retail,120.0,2
Freiburg im Breisgau,Brühl,unbekannt,5.0,2
Freiburg im Breisgau,Brühl,unbekannt,10.0,2
Freiburg im Breisgau,Brühl,unbekannt,15.0,1
Freiburg im Breisgau,Brühl,unbekannt,20.0,1
Freiburg im Breisgau,Brühl,unbekannt,25.0,3
Freiburg im Breisgau,Brühl,unbekannt,30.0,9
Freiburg im Breisgau,Brühl,unbekannt,40.0,3
Freiburg im Breisgau,Brühl,unbekannt,120.0,4
Freiburg im Breisgau,Ebnet,cemetery,15.0,1
Freiburg im Breisgau,Ebnet,forest,15.0,1
Freiburg im Breisgau,Ebnet,industrial,20.0,1
Freiburg im Breisgau,Ebnet,meadow,20.0,2
Freiburg im Breisgau,Ebnet,meadow,120.0,2
Freiburg im Breisgau,Ebnet,recreation_ground,15.0,1
Freiburg im Breisgau,Ebnet,recreation_ground,25.0,1
Freiburg im Breisgau,Ebnet,residential,5.0,74
Freiburg im Breisgau,Ebnet,residential,10.0,175
Freiburg im Breisgau,Ebnet,residential,15.0,162
Freiburg im Breisgau,Ebnet,residential,20.0,39
Freiburg im Breisgau,Ebnet,residential,25.0,30
Freiburg im Breisgau,Ebnet,residential,30.0,28
Freiburg im Breisgau,Ebnet,residential,40.0,10
Freiburg im Breisgau,Ebnet,residential,120.0,7
Freiburg im Breisgau,Ebnet,unbekannt,40.0,2
Freiburg im Breisgau,Ebnet,unbekannt,120.0,2
Freiburg im Breisgau,Günterstal,farmyard,120.0,1
Freiburg im Breisgau,Günterstal,forest,120.0,2
Freiburg im Breisgau,Günterstal,grass,120.0,1
Freiburg im Breisgau,Günterstal,residential,40.0,3
Freiburg im Breisgau,Günterstal,residential,120.0,457
Freiburg im Breisgau,Günterstal,unbekannt,120.0,1
Freiburg im Breisgau,Haslach,allotments,25.0,1
Freiburg im Breisgau,Haslach,commercial,5.0,1
Freiburg im Breisgau,Haslach,commercial,10.0,21
Freiburg im Breisgau,Haslach,commercial,15.0,34
Freiburg im Breisgau,Haslach,commercial,20.0,37
Freiburg im Breisgau,Haslach,commercial,25.0,47
Freiburg im Breisgau,Haslach,commercial,30.0,19
Freiburg im Breisgau,Haslach,construction,5.0,5
Freiburg im Breisgau,Haslach,construction,10.0,11
Freiburg im Breisgau,Haslach,construction,20.0,1
Freiburg im Breisgau,Haslach,industrial,10.0,3
Freiburg im Breisgau,Haslach,industrial,15.0,5
Freiburg im Breisgau,Haslach,industrial,20.0,45
Freiburg im Breisgau,Haslach,industrial,25.0,14
Freiburg im Breisgau,Haslach,military,20.0,1
